document_id,filename,full_path,bank_name,source_type,document_type,word_count,global_normalized,within_type_normalized
state_street_corporation_2022_Q4,state_street_corporation_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/state_street_corporation_2022_Q4.txt,state,News,News Article,257,0.018222516933645697,0.13451611738800853
jpmorgan_chase_&_co_2022_Q4,jpmorgan_chase_&_co_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/jpmorgan_chase_&_co_2022_Q4.txt,jpmorgan,News,News Article,2279,0.16159189140769858,1.1928491499115619
"bank_of_new_york_mellon_corporation,_the_2022_Q4","bank_of_new_york_mellon_corporation,_the_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/bank_of_new_york_mellon_corporation,_the_2022_Q4.txt",bank,News,News Article,600,0.04254284109022341,0.3140454102443779
wells_fargo_&_company_2022_Q4,wells_fargo_&_company_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/wells_fargo_&_company_2022_Q4.txt,wells,News,News Article,1715,0.1216016207828886,0.8976464642818468
"charles_schwab_corporation,_the_2022_Q4","charles_schwab_corporation,_the_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/charles_schwab_corporation,_the_2022_Q4.txt",charles,News,News Article,2236,0.15854298779623258,1.1703425621773815
capital_one_financial_corporation_2022_Q4,capital_one_financial_corporation_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/capital_one_financial_corporation_2022_Q4.txt,capital,News,News Article,306,0.02169684895601394,0.16016315922463273
"goldman_sachs_group,_inc.,_the_2022_Q4","goldman_sachs_group,_inc.,_the_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/goldman_sachs_group,_inc.,_the_2022_Q4.txt",goldman,News,News Article,8995,0.6377880926775993,4.708064108580299
synovus_financial_corp_2022_Q4,synovus_financial_corp_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/synovus_financial_corp_2022_Q4.txt,synovus,News,News Article,658,0.04665531572894501,0.34440313323466776
bank_of_america_corporation_2022_Q4,bank_of_america_corporation_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/bank_of_america_corporation_2022_Q4.txt,bank,News,News Article,2502,0.17740364734623162,1.3095693607190557
first_horizon_corporation_2022_Q3,first_horizon_corporation_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/first_horizon_corporation_2022_Q3.txt,first,News,News Article,264,0.018718850079698302,0.13817998050752628
jpmorgan_chase_&_co_2022_Q3,jpmorgan_chase_&_co_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/jpmorgan_chase_&_co_2022_Q3.txt,jpmorgan,News,News Article,1924,0.13642071042931642,1.007038948850305
