bank_name,subcategory,total_hits,total_documents,raw_base_score,doc_score,doc_normalized_score,normalized_base_score,normalized_doc_scaled_score,log_transformed,clipped_score,log_scaled_score,clipped_scaled_score
ally_financial_inc,Analog,10401,56,100.0,38930.0,695.1785714285714,5.0,4.208606036302188,6.545606195570941,695.1785714285714,4.788981302594808,4.7072236889438
ally_financial_inc,Analytics,6639,55,100.0,28170.0,512.1818181818181,5.0,3.855706508172819,6.240630203785392,512.1818181818181,4.688202172673151,4.05365794327442
ally_financial_inc,Data,812,53,100.0,2900.0,54.716981132075475,5.0,2.5294444959658726,4.020284968191801,54.716981132075475,4.150077389501257,3.580235915161066
ally_financial_inc,Technology,517,51,100.0,1565.0,30.686274509803923,5.0,2.6194255813269836,3.455883606356715,30.686274509803923,4.184305749654955,4.108413576837774
american_express_company,Analog,10266,58,100.0,26825.0,462.5,5.0,3.113728003634623,6.13880638500591,462.5,4.392271044364617,3.442201516297389
american_express_company,Analytics,5924,58,100.0,20625.0,355.6034482758621,5.0,2.966730646814532,5.876624375252904,355.6034482758621,4.34559777471041,3.10306018659078
american_express_company,Data,1713,56,100.0,4340.0,77.5,5.0,3.174459797829918,4.363098624788363,77.5,4.459241768783248,4.668403319789265
american_express_company,Technology,799,52,100.0,2000.0,38.46153846153846,5.0,3.0297543535924345,3.6753264877092326,38.46153846153846,4.386503887209807,4.8960209490962505
ameriprise_financial_inc,Analog,4048,57,100.0,3260.0,57.19298245614035,5.0,1.206540129520452,4.063764771112503,57.19298245614035,2.3686951401805434,1.2386364833241332
ameriprise_financial_inc,Analytics,1594,57,100.0,1885.0,33.07017543859649,5.0,1.135543528124845,3.5284223810167203,33.07017543859649,2.1354564322665164,1.144939114062776
ameriprise_financial_inc,Data,422,36,20.0,25.0,0.6944444444444444,1.0,1.0,0.5273549257172012,0.6944444444444444,1.0,1.0
ameriprise_financial_inc,Technology,216,39,20.0,45.0,1.1538461538461537,1.8,1.060892630607773,0.7672551527136672,1.1538461538461537,1.7069610185205808,1.1168806284728876
associated_banc-corp,Analog,7959,58,100.0,17075.0,294.3965517241379,5.0,2.322710714836239,5.6883186967865536,294.3965517241379,3.952956466329796,2.528260073122567
associated_banc-corp,Analytics,4761,58,100.0,14040.0,242.06896551724137,5.0,2.3221370502351792,5.4933452117874015,242.06896551724137,3.984853202074971,2.413784747835066
associated_banc-corp,Data,672,56,100.0,185.0,3.3035714285714284,5.0,1.0738675958188153,1.4594452427555058,3.3035714285714284,1.8405998966401493,1.124617679295347
associated_banc-corp,Technology,288,54,90.0,100.0,1.8518518518518519,4.6,1.0977289133211172,1.0479685558493548,1.8518518518518519,1.965614782775254,1.1875861938453751
bank_of_america_corp,Analog,15447,63,100.0,52755.0,837.3809523809524,5.0,4.877744849308792,6.731472594297428,749.0296226415093,4.970237795641559,5.0
bank_of_america_corp,Analytics,10967,63,100.0,44965.0,713.7301587301587,5.0,5.0,6.571905071083162,668.0592075125974,5.0,5.0
bank_of_america_corp,Data,1791,55,100.0,4550.0,82.72727272727273,5.0,3.3224503216342227,4.427564763456936,82.72727272727273,4.517380157854578,4.918069434271059
bank_of_america_corp,Technology,754,53,100.0,1850.0,34.905660377358494,5.0,2.842097819015021,3.5808949537440276,34.905660377358494,4.299493180020179,4.535822785877919
"bank_of_new_york_mellon,_the",Analog,5623,52,100.0,16090.0,309.4230769230769,5.0,2.393418611341846,5.73793613130289,309.4230769230769,4.001343276619494,2.6099559827964978
"bank_of_new_york_mellon,_the",Analytics,3395,50,100.0,13425.0,268.5,5.0,2.4721996141768874,5.596568390349052,268.5,4.0820074566908655,2.5742493260602
"bank_of_new_york_mellon,_the",Data,381,48,95.0,615.0,12.8125,4.75,1.3430770657516462,2.6255739792779718,12.8125,2.8922658966739307,1.5787851530770585
"bank_of_new_york_mellon,_the",Technology,315,42,100.0,295.0,7.023809523809524,5.0,1.370671806953666,2.0824133120689936,7.023809523809524,2.9187685229277545,1.7114876352278152
bok_financial_corporation,Analog,6359,52,70.0,17305.0,332.78846153846155,3.2857142857142856,2.503365333909148,5.810507443639454,332.78846153846155,4.072114656815454,2.7369884354602645
bok_financial_corporation,Analytics,3329,53,70.0,10170.0,191.88679245283018,1.0,2.0372270684058904,5.262103449204893,191.88679245283018,3.7672071133493543,2.109125418649363
bok_financial_corporation,Data,409,49,70.0,360.0,7.346938775510204,3.5,1.1883403013435738,2.1218948579321752,7.346938775510204,2.4380259913733395,1.3177378525868326
bok_financial_corporation,Technology,197,37,25.0,25.0,0.6756756756756757,2.0,1.0356578467522994,0.5162164724008671,0.6756756756756757,1.475650012665099,1.0684436112679072
capital_one_financial_corporation,Analog,8547,61,100.0,21385.0,350.57377049180326,5.0,2.5870547942563697,5.86241956260678,350.57377049180326,4.12273923820894,2.8336832451077907
capital_one_financial_corporation,Analytics,7836,60,100.0,26295.0,438.25,5.0,3.435957587619866,6.085068727067206,438.25,4.541786808138756,3.6048129300494756
capital_one_financial_corporation,Data,1450,58,100.0,1950.0,33.62068965517241,5.0,1.9321825222972304,3.5444514702652006,33.62068965517241,3.720949887730864,2.5726303438019076
capital_one_financial_corporation,Technology,891,55,100.0,1300.0,23.636363636363637,5.0,2.2473763118440777,3.2042235480813304,23.636363636363637,3.952422196328451,3.394281965080969
"charles_schwab_corporation,_the",Analog,5788,52,100.0,15600.0,300.0,5.0,2.349077957796185,5.707110264748875,300.0,3.971281961045559,2.558724787895061
