document_id,filename,full_path,bank_name,source_type,document_type,word_count
wells_fargo_&_company_2022_Q4,wells_fargo_&_company_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/wells_fargo_&_company_2022_Q4.txt,wells,News,News Article,1715
"charles_schwab_corporation,_the_2022_Q4","charles_schwab_corporation,_the_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/charles_schwab_corporation,_the_2022_Q4.txt",charles,News,News Article,2236
capital_one_financial_corporation_2022_Q4,capital_one_financial_corporation_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/capital_one_financial_corporation_2022_Q4.txt,capital,News,News Article,306
"goldman_sachs_group,_inc.,_the_2022_Q4","goldman_sachs_group,_inc.,_the_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/goldman_sachs_group,_inc.,_the_2022_Q4.txt",goldman,News,News Article,8995
synovus_financial_corp_2022_Q4,synovus_financial_corp_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/synovus_financial_corp_2022_Q4.txt,synovus,News,News Article,658
bank_of_america_corporation_2022_Q4,bank_of_america_corporation_2022_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/bank_of_america_corporation_2022_Q4.txt,bank,News,News Article,2502
first_horizon_corporation_2022_Q3,first_horizon_corporation_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/first_horizon_corporation_2022_Q3.txt,first,News,News Article,264
jpmorgan_chase_&_co_2022_Q3,jpmorgan_chase_&_co_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/jpmorgan_chase_&_co_2022_Q3.txt,jpmorgan,News,News Article,1924
citigroup_inc_2022_Q3,citigroup_inc_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/citigroup_inc_2022_Q3.txt,citigroup,News,News Article,649
wells_fargo_&_company_2022_Q3,wells_fargo_&_company_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/wells_fargo_&_company_2022_Q3.txt,wells,News,News Article,429
ally_financial_inc_2022_Q3,ally_financial_inc_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/ally_financial_inc_2022_Q3.txt,ally,News,News Article,3098
bank_of_america_corporation_2022_Q3,bank_of_america_corporation_2022_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q3/bank_of_america_corporation_2022_Q3.txt,bank,News,News Article,1495
