bank_name,subcategory,total_hits,raw_base_score,raw_scaled_score,total_documents,normalized_base_score,normalized_scaled_score
"east_west_bancorp,_inc",Analog,7169,28090.0,28090.0,56,2.639406032164694,2.639406032164694
"east_west_bancorp,_inc",Analytics,5021,22609.0,22609.0,56,2.5605754565315966,2.5605754565315966
"east_west_bancorp,_inc",Data,481,1826.0,1826.0,52,1.470330739299611,1.470330739299611
"east_west_bancorp,_inc",Technology,1038,4056.0,4056.0,46,5.0,5.0
f.n.b._corporation,Analog,10100,37570.0,37570.0,61,3.288865672153048,3.288865672153048
f.n.b._corporation,Analytics,5600,20791.0,20791.0,60,2.4106929387031615,2.4106929387031615
f.n.b._corporation,Data,1013,3151.0,3151.0,60,2.114785992217899,2.114785992217899
f.n.b._corporation,Technology,383,1114.0,1114.0,50,1.7732382780367426,1.7732382780367426
fifth_third_bancorp,Analog,4908,14454.0,14454.0,55,1.7052254782742735,1.7052254782742735
fifth_third_bancorp,Analytics,3224,10900.0,10900.0,54,1.5952430025969742,1.5952430025969742
fifth_third_bancorp,Data,442,1196.0,1196.0,43,1.163910505836576,1.163910505836576
fifth_third_bancorp,Technology,339,771.0,771.0,37,1.397038661913902,1.397038661913902
"first_citizens_bancshares,_inc",Analog,4145,14113.0,14113.0,30,1.6818641135869286,1.6818641135869286
"first_citizens_bancshares,_inc",Analytics,2787,9918.0,9918.0,40,1.5142833587534523,1.5142833587534523
"first_citizens_bancshares,_inc",Data,465,1200.0,1200.0,28,1.1658560311284047,1.1658560311284047
"first_citizens_bancshares,_inc",Technology,173,469.0,469.0,27,1.0658075130244036,1.0658075130244036
first_horizon_corporation,Analog,6453,23310.0,23310.0,47,2.311935876136811,2.311935876136811
first_horizon_corporation,Analytics,5226,21351.0,21351.0,47,2.456861371037553,2.456861371037553
first_horizon_corporation,Data,758,2617.0,2617.0,45,1.855058365758755,1.855058365758755
first_horizon_corporation,Technology,870,3741.0,3741.0,44,4.654510556621881,4.654510556621881
"flagstar_financial,_inc",Analog,3207,10824.0,10824.0,47,1.4565399832154418,1.4565399832154418
"flagstar_financial,_inc",Analytics,2898,11622.0,11622.0,47,1.6547673028566718,1.6547673028566718
"flagstar_financial,_inc",Data,553,1604.0,1604.0,39,1.3623540856031129,1.3623540856031129
"flagstar_financial,_inc",Technology,288,1032.0,1032.0,39,1.6833013435700575,1.6833013435700575
"goldman_sachs_group,_inc.,_the",Analog,12992,50062.0,50062.0,70,4.1446726154794735,4.1446726154794735
"goldman_sachs_group,_inc.,_the",Analytics,8930,37387.0,37387.0,71,3.7789274083845172,3.7789274083845172
"goldman_sachs_group,_inc.,_the",Data,1938,7224.0,7224.0,65,4.095817120622568,4.095817120622568
"goldman_sachs_group,_inc.,_the",Technology,795,2346.0,2346.0,61,3.1244858788044967,3.1244858788044967
hsbc_north_america_holdings_inc,Analog,11711,46696.0,46696.0,61,3.914073338243102,3.914073338243102
hsbc_north_america_holdings_inc,Analytics,9374,42004.0,42004.0,60,4.15956964425574,4.15956964425574
